time,Pp1,Pp2
42.6,-1.29E-12,-1.29E-12
42.7,-1.29E-12,-1.29E-12
42.8,-1.29E-12,-1.29E-12
42.9,-1.29E-12,-1.29E-12
43,-1.29E-12,-1.29E-12
43.1,-1.29E-12,-1.29E-12
43.2,-1.29E-12,-1.29E-12
43.3,-1.29E-12,-1.29E-12
43.4,-1.29E-12,-1.29E-12
43.5,-1.29E-12,-1.29E-12
43.6,-1.29E-12,-1.29E-12
43.7,-1.29E-12,-1.29E-12
43.8,-1.29E-12,-1.29E-12
43.9,-1.29E-12,-1.29E-12
44,-1.29E-12,-1.29E-12
44.1,-1.29E-12,-1.29E-12
44.17,-1.29E-12,-1.29E-12
44.17,-4.62E-11,-4.62E-11
44.188,-1.78E-06,-1.78E-06
44.188,-1.78E-06,-1.78E-06
44.188,1.79E-06,1.78E-06
44.188,1.79E-06,1.78E-06
44.2,0.122439,0.0797511
44.3,23.6977,5.37946
44.4,87.3651,15.4714
44.5,170.966,27.6194
44.6,261.435,40.6638
44.7,353.333,54.1219
44.8,445.165,67.7518
44.9,536.728,81.4545
45,628.067,95.1925
45.1,719.209,108.952
45.2,810.294,122.725
45.3,901.297,136.51
45.4,992.28,150.306
45.5,1083.24,164.113
45.6,1174.18,177.932
45.7,1265.12,191.765
45.8,1356.05,205.61
45.9,1447,219.47
46,1537.97,233.345
46.1,1628.96,247.236
46.2,1719.96,261.145
46.3,1810.97,275.071
46.4,1902.01,289.017
46.5,1993.06,302.983
46.6,2084.13,316.969
46.7,2175.22,330.978
46.8,2266.33,345.009
46.9,2357.47,359.065
47,2448.64,373.145
47.1,2539.83,387.251
47.2,2631.04,401.384
47.3,2722.29,415.544
47.4,2813.56,429.733
47.5,2904.86,443.952
47.6,2996.2,458.201
47.7,3087.56,472.482
47.8,3178.95,486.796
47.9,3270.38,501.143
48,3361.84,515.525
48.1,3453.33,529.941
48.2,3544.86,544.395
48.3,3636.42,558.885
48.4,3728.03,573.414
48.5,3819.67,587.982
48.6,3911.35,602.591
48.7,4003.07,617.24
48.8,4094.83,631.932
48.9,4186.63,646.666
49,4278.48,661.445
49.1,4370.37,676.269
49.2,4462.31,691.139
49.3,4554.3,706.055
49.4,4646.33,721.02
49.5,4738.41,736.033
49.6,4830.53,751.097
49.7,4922.71,766.211
49.8,5014.93,781.376
49.9,5107.21,796.595
50,5199.54,811.867
50.1,5291.93,827.194
50.2,5384.37,842.576
50.3,5476.86,858.015
50.4,5569.41,873.511
50.5,5662.02,889.066
50.6,5754.69,904.68
50.7,5847.41,920.355
50.8,5940.2,936.09
50.9,6033.05,951.889
51,6125.96,967.75
51.1,6218.93,983.676
51.2,6311.97,999.666
51.3,6405.08,1015.72
51.4,6498.25,1031.85
51.5,6591.48,1048.04
51.6,6684.79,1064.3
51.7,6778.16,1080.63
51.8,6871.6,1097.03
51.9,6965.12,1113.51
52,7058.71,1130.05
52.1,7152.36,1146.67
52.2,7246.1,1163.37
52.3,7339.91,1180.14
52.4,7433.79,1196.99
52.5,7527.75,1213.91
52.6,7621.79,1230.92
52.7,7715.9,1248
52.8,7810.1,1265.16
52.9,7904.38,1282.41
53,7998.74,1299.74
53.1,8093.18,1317.15
53.2,8187.7,1334.64
53.3,8282.31,1352.23
53.4,8377,1369.89
53.5,8471.78,1387.65
53.6,8566.65,1405.49
53.7,8661.61,1423.42
53.8,8756.65,1441.44
53.9,8851.79,1459.56
54,8947.01,1477.76
54.1,9042.33,1496.06
54.2,9137.74,1514.45
54.3,9233.24,1532.94
54.4,9328.84,1551.52
54.5,9424.54,1570.2
54.6,9520.33,1588.98
54.7,9616.22,1607.85
54.8,9712.21,1626.83
54.9,9808.29,1645.9
54.99,9955.92,1662.99
54.99,9955.92,1662.99
55,9301.77,1664.84
55.1,4993.15,1677.03
55.2,3141.21,1682.23
55.3,2349.84,1684.45
55.4,1996.54,1685.44
55.5,1828.43,1685.91
55.6,1744.97,1686.14
55.7,1702.12,1686.26
55.8,1689.37,1686.3
55.9,1679.96,1686.32
56,1677.04,1686.33
56.1,1679.8,1686.32
56.2,1682.57,1686.32
56.3,1683.48,1686.31
56.4,1684.08,1686.31
56.5,1684.68,1686.31
56.6,1685.28,1686.31
56.7,1685.62,1686.31
56.8,1685.69,1686.31
56.9,1685.77,1686.31
57,1685.84,1686.31
57.1,1685.91,1686.31
57.2,1685.98,1686.31
57.3,1686.06,1686.31
57.4,1686.13,1686.31
57.5,1686.2,1686.31
57.6,1686.22,1686.31
57.7,1686.23,1686.31
57.8,1686.23,1686.31
57.9,1686.24,1686.31
58,1686.24,1686.31
58.1,1686.25,1686.31
58.2,1686.25,1686.31
58.3,1686.26,1686.31
58.4,1686.26,1686.31
58.5,1686.26,1686.31
58.6,1686.27,1686.31
58.7,1686.27,1686.31
58.8,1686.28,1686.31
58.9,1686.28,1686.31
59,1686.29,1686.31
59.1,1686.29,1686.31
59.2,1686.3,1686.31
59.3,1686.3,1686.31
59.4,1686.3,1686.31
59.5,1686.3,1686.31
59.6,1686.3,1686.31
59.7,1686.3,1686.31
59.8,1686.3,1686.31
59.9,1686.3,1686.31
60,1686.3,1686.31
60.1,1686.3,1686.31
60.2,1686.3,1686.31
60.3,1686.3,1686.31
60.4,1686.3,1686.31
60.5,1686.3,1686.31
60.6,1686.3,1686.31
60.7,1686.3,1686.31
60.8,1686.3,1686.31
60.9,1686.3,1686.31
61,1686.3,1686.31
61.1,1686.3,1686.31
61.2,1686.3,1686.31
61.3,1686.3,1686.31
61.4,1686.3,1686.31
61.5,1686.3,1686.31
61.6,1686.3,1686.31
61.7,1686.3,1686.31
61.8,1686.3,1686.31
61.9,1686.3,1686.31
62,1686.3,1686.31
62.1,1686.31,1686.31
62.2,1686.31,1686.31
62.3,1686.31,1686.31
62.4,1686.31,1686.31
62.5,1686.31,1686.31
62.6,1686.31,1686.31
62.7,1686.31,1686.31
62.8,1686.31,1686.31
62.9,1686.31,1686.31
63,1686.31,1686.31
63.1,1686.31,1686.31
63.2,1686.31,1686.31
63.3,1686.31,1686.31
63.4,1686.31,1686.31
63.5,1686.31,1686.31
63.6,1686.31,1686.31
63.7,1686.31,1686.31
63.8,1686.31,1686.31
63.9,1686.31,1686.31
64,1686.31,1686.31
64.1,1686.31,1686.31
64.2,1686.31,1686.31
64.3,1686.31,1686.31
64.4,1686.31,1686.31
64.5,1686.31,1686.31
64.6,1686.31,1686.31
64.7,1686.31,1686.31
64.8,1686.31,1686.31
64.9,1686.31,1686.31
65,1686.31,1686.31
65.1,1686.31,1686.31
65.2,1686.31,1686.31
65.3,1686.31,1686.31
65.4,1686.31,1686.31
65.5,1686.31,1686.31
65.6,1686.31,1686.31
65.7,1686.31,1686.31
65.8,1686.31,1686.31
65.9,1686.31,1686.31
66,1686.31,1686.31
66.1,1686.31,1686.31
66.2,1686.31,1686.31
66.3,1686.31,1686.31
66.4,1686.31,1686.31
66.5,1686.31,1686.31
66.6,1686.31,1686.31
66.7,1686.31,1686.31
66.8,1686.31,1686.31
66.9,1686.31,1686.31
67,1686.31,1686.31
67.1,1686.31,1686.31
67.2,1686.31,1686.31
67.3,1686.31,1686.31
67.4,1686.31,1686.31
67.5,1686.31,1686.31
67.6,1686.31,1686.31
67.7,1686.31,1686.31
67.8,1686.31,1686.31
67.9,1686.31,1686.31
68,1686.31,1686.31
68.1,1686.31,1686.31
68.2,1686.31,1686.31
68.3,1686.31,1686.31
68.37,1686.31,1686.31
68.37,1686.26,1686.31
68.4,-228.628,1685.62
68.5,-4068.55,1676.31
68.6,-5640.7,1660.82
68.7,-6276.65,1642.85
68.8,-6543.01,1623.97
68.9,-6607.49,1604.64
69,-6593.77,1585.2
69.1,-6559.55,1565.8
69.2,-6501.12,1546.45
69.3,-6440.17,1527.19
69.4,-6377.96,1508.03
69.5,-6314.77,1488.97
69.6,-6251.34,1470.01
69.7,-6187.56,1451.15
69.8,-6123.49,1432.39
69.9,-6059.24,1413.73
70,-5994.79,1395.16
70.1,-5930.14,1376.69
70.2,-5865.45,1358.31
70.3,-5800.65,1340.02
70.4,-5735.75,1321.83
70.5,-5670.78,1303.73
70.6,-5605.72,1285.72
70.7,-5540.57,1267.8
70.8,-5475.34,1249.96
70.9,-5410.03,1232.22
71,-5344.63,1214.55
71.1,-5279.14,1196.98
71.2,-5213.57,1179.48
71.3,-5147.91,1162.08
71.4,-5082.18,1144.75
71.5,-5016.36,1127.5
71.6,-4950.46,1110.33
71.7,-4884.48,1093.24
71.8,-4818.42,1076.23
71.9,-4752.29,1059.29
72,-4686.08,1042.43
72.1,-4619.8,1025.64
72.2,-4553.44,1008.93
72.3,-4487.01,992.284
72.4,-4420.5,975.712
72.5,-4353.93,959.21
72.6,-4287.29,942.777
72.7,-4220.58,926.411
72.8,-4153.8,910.112
72.9,-4086.95,893.878
73,-4020.04,877.709
73.1,-3953.06,861.602
73.2,-3886.02,845.558
73.3,-3818.92,829.576
73.4,-3751.76,813.653
73.5,-3684.53,797.789
